,,,,,,,,,
Top 100,Type,Gemeenten gesorteerd op grootte,Wie ingevuld?,Datum (wijziging),Corona Informatie,Corona specifiek nieuws,Algemeen nieuws,Opmerkingen,
1,Gemeente,Amsterdam,Tom,04-05-2020,,https://www.amsterdam.nl/coronavirus,https://www.amsterdam.nl/nieuws/,,
2,Gemeente,Rotterdam,Tom,04-05-2020,,https://www.rotterdam.nl/wonen-leven/coronanieuws/,https://www.rotterdam.nl/nieuws/,,
3,Gemeente,s-Gravenhage,Tom,04-05-2020,,https://www.denhaag.nl/nl/bestuur-en-organisatie/coronavirus-1.htm,https://www.denhaag.nl/nl/in-de-stad/nieuws.htm,,
4,Gemeente,Utrecht,Tom,04-05-2020,,https://www.utrecht.nl/bestuur-en-organisatie/coronavirus/,https://www.utrecht.nl/nieuws/,,
5,Gemeente,Eindhoven,Tom,04-05-2020,,https://www.eindhoven.nl/stad-en-wonen/stad/informatie-over-coronavirus,https://www.eindhoven.nl/nieuws,,
6,Gemeente,Tilburg,Tom,06-05-2020,,https://www.tilburg.nl/actueel/crisis/,https://www.tilburg.nl/actueel/,,
7,Gemeente,Groningen,Tom,06-05-2020,,https://gemeente.groningen.nl/coronavirus,https://gemeente.groningen.nl/actueel/nieuws,,
8,Gemeente,Almere,Tom,06-05-2020,,https://www.almere.nl/nc/wonen/zorg-en-welzijn/maatregelen-in-almere-tegen-coronavirus/,https://www.almere.nl/over-almere/actueel/,,
9,Gemeente,Breda,Tom,06-05-2020,,https://www.breda.nl/coronavirus,https://www.breda.nl/nieuwsberichten,,
10,Gemeente,Nijmegen,Tom,06-05-2020,,https://www.nijmegen.nl/nieuws/nieuwsdossiers/dossier-coronavirus-covid-19/,https://www.nijmegen.nl/nieuws/,,checken bij Breyten: onderscheid maken tussen nieuws & informatie?
11,Gemeente,Apeldoorn,Tom,06-05-2020,,https://www.apeldoorn.nl/coronanieuws,https://www.apeldoorn.nl/nieuws,,
12,Gemeente,Haarlem,Tom,06-05-2020,,https://www.haarlem.nl/corona-nieuws-overzicht/,https://www.haarlem.nl/nieuws-en-actualiteiten/,,
13,Gemeente,Enschede,Tom,06-05-2020,,https://www.enschede.nl/nieuws/actuele-informatie-over-coronavirus,https://www.enschede.nl/nieuws,,
14,Gemeente,Arnhem,Tom,06-05-2020,,https://www.arnhem.nl/actueel/alle_nieuwsberichten/Informatie_over_het_Coronavirus,https://www.arnhem.nl/actueel/alle_nieuwsberichten,,
15,Gemeente,Amersfoort,Tom,06-05-2020,,https://www.amersfoort.nl/zorg-en-ondersteuning/to-2/actuele-informatie-corona.htm,https://www.amersfoort.nl/nieuws.htm,,
16,Gemeente,Zaanstad,Tom,06-05-2020,,https://www.zaanstad.nl/mozard/!suite86.scherm0325?mPag=1731&mLok=1,https://www.zaanstad.nl/mozard/!suite05.scherm1069?mNwc=1,,
17,Gemeente,s-Hertogenbosch,Tom,06-05-2020,,https://www.s-hertogenbosch.nl/corona.html,https://www.s-hertogenbosch.nl/actueel/nieuws.html,,
18,Gemeente,Haarlemmermeer,Tom,06-05-2020,,https://haarlemmermeergemeente.nl/taak/corona,https://haarlemmermeergemeente.nl/nieuwsoverzicht,,
19,Gemeente,Zwolle,Tom,06-05-2020,,https://www.zwolle.nl/nieuws-over-coronavirus,https://www.zwolle.nl/nieuws,,
20,Gemeente,Zoetermeer,Tom,06-05-2020,,https://www.zoetermeer.nl/inwoners/coronavirus-in-zoetermeer_48552?pk_campaign=Redirects&pk_kwd=corona,https://www.zoetermeer.nl/inwoners/nieuws_45887/,,
21,Gemeente,Leiden,Tom,06-05-2020,,https://gemeente.leiden.nl/veelgestelde-vragen-en-nieuws-over-het-coronavirus/,https://gemeente.leiden.nl/nieuws/,,
22,Gemeente,Maastricht,Tom,06-05-2020,,https://www.gemeentemaastricht.nl/stad/steunpunt-corona,https://www.gemeentemaastricht.nl/stad/actueel,,
23,Gemeente,Dordrecht,Tom,06-05-2020,,https://cms.dordrecht.nl/Inwoners/Overzicht_Inwoners/Nieuws/Nieuws,https://cms.dordrecht.nl/Inwoners/Overzicht_Inwoners/Informatie_coronavirus,,
24,Gemeente,Ede,Tom,06-05-2020,,https://www.ede.nl/corona-nieuws,https://www.ede.nl/nieuws,,
25,Gemeente,Alphen Aan Den Rijn,Tom,06-05-2020,https://www.alphenaandenrijn.nl/Inwoners_en_bedrijven/Inhoud_homepage_Inwoners_en_bedrijven/Coronavirus,https://www.alphenaandenrijn.nl/Inwoners_en_bedrijven/Inhoud_homepage_Inwoners_en_bedrijven/Coronavirus/Nieuws_updates_maatregelen_Alphen_aan_den_Rijn,https://www.allesinalphen.nl/gemeentenieuws.html,,
26,Gemeente,Leeuwarden,Tom,06-05-2020,https://www.leeuwarden.nl/nl/coronavirus-covid-19,,https://www.leeuwarden.nl/nl/actueel,,
27,Gemeente,Alkmaar,Tom,06-05-2020,https://www.alkmaar.nl/coronavirus/,https://www.alkmaar.nl/actueel/15662/coronavirus-in-noord-holland-noord/,https://www.alkmaar.nl/actueel,,
