collection,location,file_url
Gemeente,Alphen-Chaam,https://www.alphen-chaam.nl/coronavirus.html
Gemeente,Altena,https://www.gemeentealtena.nl/index.php?id=860
Gemeente,Ameland,https://www.ameland.nl/ameland-actueel/coronavirus_46095/
Gemeente,Appingedam,https://www.appingedam.nl/home/coronavirus-informatie_44142/
Gemeente,Asten,https://www.asten.nl/wonen/coronavirus-covid-19.html
Gemeente,Baarle-Nassau,https://www.baarle-nassau.nl/coronavirus.html
Gemeente,Baarn,https://www.baarn.nl/home/nieuws_42897/item/informatie-over-het-coronavirus_57379.html
Gemeente,Beek,
Gemeente,Beekdaelen,https://www.beekdaelen.nl/home#
Gemeente,Beemster,https://www.purmerend.nl/actuele-informatie-over-het-coronavirus-purmerend
Gemeente,Beesel,https://www.beesel.nl/inwoners/coronavirus/landelijk/landelijk
Gemeente,Berg en Dal,https://www.bergendal.nl/inwoners/coronavirus-covid-19_48540/
Gemeente,Bergeijk,https://www.bergeijk.nl/home/coronavirus-covid-19_48885/
Gemeente,Bergen (L.),https://www.bergen.nl/home/informatie-over-het-coronavirus_46238/
Gemeente,Bergen (NH.),https://www.bergen-nh.nl/index.php?id=4496&MP=4496-4497
Gemeente,Berkelland,https://www.gemeenteberkelland.nl/Inwoners/Coronavirus/
Gemeente,Bernheze,https://www.bernheze.org/inwoners-en-ondernemers/coronavirus/
Gemeente,Best,
Gemeente,Beuningen,https://www.beuningen.nl/Home/Coronavirus:NhDAQB7NQ-WEKPcoZBg58A
Gemeente,Beverwijk,https://corona.beverwijk.nl/
Gemeente,De Bilt,https://www.debilt.nl/coronavirus-1
Gemeente,Bladel,https://www.bladel.nl/inwoner/corona_44100/
Gemeente,Blaricum,https://www.blaricum.nl/Corona
Gemeente,Bloemendaal,https://www.bloemendaal.nl/coronavirus
Gemeente,Bodegraven-Reeuwijk,
Gemeente,Boekel,https://www.boekel.nl/inwoners-en-ondernemers/coronavirus/Index
Gemeente,Borger-Odoorn,https://www.borger-odoorn.nl/actueel/nieuws/archive/2020.html
Gemeente,Borne,https://www.borne.nl/nieuws/coronavirus
Gemeente,Borsele,
Gemeente,Boxmeer,https://www.boxmeer.nl/inwoners/coronavirus_42608/
Gemeente,Boxtel,https://www.boxtel.nl/nieuws/informatie-over-het-coronavirus
Gemeente,Brielle,https://www.brielle.nl/actueel/coronavirus_45306/
Gemeente,Bronckhorst,https://www.bronckhorst.nl/home/informatie-over-het-coronavirus_46863/
Gemeente,Brummen,https://www.brummen.nl/actueel/algemene-informatie-over-corona.html
Gemeente,Brunssum,https://www.brunssum.nl/bestuur_en_organisatie/nieuws_en_actualiteit/nieuwsberichten/Informatie_over_het_Coronavirus
Gemeente,Bunnik,
Gemeente,Bunschoten,https://www.bunschoten.nl/coronavirus
Gemeente,Buren,https://www.buren.nl/coronavirus
Gemeente,Castricum,https://www.castricum.nl/index.php?id=4496&MP=4496-4499
Gemeente,Coevorden,https://www.coevorden.nl/informatie-coronavirus
Gemeente,Cranendonck,
Gemeente,Cuijk,
Gemeente,Culemborg,https://www.culemborg.nl/coronavirus-informatie
Gemeente,Dalfsen,https://www.dalfsen.nl/home/coronavirus-informatie-inwoners_42797/
Gemeente,Dantumadiel,
Gemeente,Delfzijl,
Gemeente,Deurne,https://www.deurne.nl/home/coronavirus_43743/
Gemeente,Diemen,https://www.diemen.nl/Onderwerpen/Diemen_Helpt_tijdens_de_coronacrisis
