collection,location,file_url
Provincie,Drenthe,https://www.provincie.drenthe.nl/actueel/nieuwsberichten/
Provincie,Flevoland,https://www.flevoland.nl/nieuwsoverzicht
Provincie,Fryslân,https://www.fryslan.frl/home/nieuws_3166/
Provincie,Gelderland,https://www.gelderland.nl/Nieuwsoverzicht
Provincie,Groningen,https://www.provinciegroningen.nl/actueel/nieuws/
Provincie,Limburg,https://www.limburg.nl/actueel/nieuws/
Provincie,Noord-Brabant,https://www.brabant.nl/actueel/nieuws
Provincie,Noord-Holland,https://www.noord-holland.nl/Actueel/Nieuws
Provincie,Overijssel,https://www.overijssel.nl/actueel/nieuws/
Provincie,Utrecht,https://www.provincie-utrecht.nl/actueel/nieuws
Provincie,Zeeland,https://www.zeeland.nl/actueel
Provincie,Zuid-Holland,https://www.zuid-holland.nl/actueel/nieuws/
