collection,location,file_url
Gemeente,Zutphen,
Gemeente,Noordoostpolder,
Gemeente,Harderwijk,
Gemeente,Schagen,
Gemeente,Lingewaard,https://www.lingewaard.nl/coronainwoners
Gemeente,Kerkrade,https://www.kerkrade.nl/wonen-en-leven/coronavirus-covid-19_41910/
Gemeente,Soest,
Gemeente,Ridderkerk,
Gemeente,Veldhoven,https://www.veldhoven.nl/corona#nieuwsberichten
Gemeente,Zwijndrecht,https://www.zwijndrecht.nl/Bestuur/Nieuws_en_bekendmakingen/Nieuws/Update_Corona_virus_regio_Zuid_Holland_Zuid
Gemeente,Aa en Hunze,https://www.aaenhunze.nl/Inwoners_verenigingen/Corona/Nieuwsberichten
Gemeente,Aalsmeer,https://www.aalsmeer.nl/home/nieuws/informatie-coronavirus
Gemeente,Aalten,
Gemeente,Achtkarspelen,
Gemeente,Alblasserdam,https://www.alblasserdam.nl/Inwoners/Alle_onderwerpen/Informatie_over_coronavirus
Gemeente,Albrandswaard,https://www.albrandswaard.nl/actuele-informatie-coronavirus
Gemeente,Alphen-Chaam,
Gemeente,Altena,
Gemeente,Ameland,
Gemeente,Appingedam,
Gemeente,Asten,
Gemeente,Baarle-Nassau,
Gemeente,Baarn,
Gemeente,Beek,https://www.gemeentebeek.nl/#home/slide2
Gemeente,Beekdaelen,
Gemeente,Beemster,
Gemeente,Beesel,https://www.beesel.nl/inwoners/coronavirus/lokaal/lokaal
Gemeente,Berg en Dal,https://www.bergendal.nl/inwoners/nieuws-corona-algemeen_48561/
Gemeente,Bergeijk,
Gemeente,Bergen (L.),
Gemeente,Bergen (NH.),
Gemeente,Berkelland,
Gemeente,Bernheze,https://www.bernheze.org/inwoners-en-ondernemers/coronavirus/maatregelen/
Gemeente,Best,https://www.gemeentebest.nl/coronavirus
Gemeente,Beuningen,https://www.beuningen.nl/Home/Coronanieuws
Gemeente,Beverwijk,https://corona.beverwijk.nl/laatste-nieuws
Gemeente,De Bilt,https://www.debilt.nl/nieuwsoverzicht/actuele-informatie-coronavirus-in-gemeente-de-bilt
Gemeente,Bladel,
Gemeente,Blaricum,https://www.blaricum.nl/Corona/Informatie_coronavirus/Nieuws
Gemeente,Bloemendaal,https://www.bloemendaal.nl/coronavirus/actuele-informatie-over-coronavirus-in-gemeente-bloemendaal
Gemeente,Bodegraven-Reeuwijk,https://gemeente.bodegraven-reeuwijk.nl/corona
Gemeente,Boekel,
Gemeente,Borger-Odoorn,
Gemeente,Borne,
Gemeente,Borsele,https://www.borsele.nl/home/corona_46008/
Gemeente,Boxmeer,
Gemeente,Boxtel,https://www.boxtel.nl/corona
Gemeente,Brielle,https://www.brielle.nl/actueel/nieuwsberichten_45327/?
Gemeente,Bronckhorst,
Gemeente,Brummen,
Gemeente,Brunssum,
Gemeente,Bunnik,https://www.bunnik.nl/nieuws/liveblog-corona/
Gemeente,Bunschoten,
Gemeente,Buren,https://www.buren.nl/onderwerp/maatregelen-coronavirus/
Gemeente,Castricum,
Gemeente,Coevorden,
Gemeente,Cranendonck,https://www.cranendonck.nl/inwoners/nieuws-en-actualiteiten_43826/item/updates-coronavirus_50776.html
Gemeente,Cuijk,https://www.cuijk.nl/corona
Gemeente,Culemborg,
Gemeente,Dalfsen,
Gemeente,Dantumadiel,https://www.dantumadiel.frl/coronavirus-covid-19-0
Gemeente,Delfzijl,https://www.delfzijl.nl/home/coronavirus-informatie_44562/
Gemeente,Deurne,
Gemeente,Diemen,https://www.diemen.nl/Onderwerpen/Laatste_nieuws_Coronacrisis/Nieuws_over_de_coronacrisis
Gemeente,Dinkelland,https://www.dinkelland.nl/overzicht-nieuwsberichten-coronavirus
Gemeente,Doesburg,
Gemeente,Dongen,
Gemeente,Drechterland,
Gemeente,Drimmelen,https://drimmelen.nl/updates-coronavirus-en-de-gemeente-drimmelen
Gemeente,Dronten,https://www.dronten.nl/mozard/!suite86.scherm0325?mVrg=4952
Gemeente,Druten,https://www.druten.nl/nieuws-corona
Gemeente,Duiven,https://www.duiven.nl/informatie-rondom-activiteiten
Gemeente,Echt-Susteren,https://www.echt-susteren.nl/maatregelen-tegen-het-coronavirus
Gemeente,Edam-Volendam,https://www.edam-volendam.nl/portal-home/corona_44699/
Gemeente,Eemnes,https://www.eemnes.nl/Corona/Informatie_coronavirus/Nieuws
Gemeente,Eersel,
Gemeente,Eijsden-Margraten,
Gemeente,Elburg,https://www.elburg.nl/Inwoners/Nieuws/Meer_nieuws/Informatie_Coronavirus/Liveblog_Coronavirus
Gemeente,Enkhuizen,https://www.enkhuizen.nl/coronavirus
Gemeente,Epe,https://www.epe.nl/in-epe/coronavirus-laatste-nieuws_42720/item/coronavirus-laatste-nieuws_41663.html
Gemeente,Ermelo,https://www.ermelo.nl/portal-ermelo/nieuws-over-het-coronavirus_43181/
Gemeente,Etten-Leur,https://www.etten-leur.nl/Inwoner/Nieuws/Nieuwsberichten/Coronavirus_COVID_19
Gemeente,Geertruidenberg,https://www.geertruidenberg.nl/het-coronavirus
Gemeente,Geldrop-Mierlo,https://www.geldrop-mierlo.nl/corona
Gemeente,Gemert-Bakel,https://www.gemert-bakel.nl/meest-gevraagd/coronavirus
Gemeente,Gennep,
Gemeente,Gilze en Rijen,https://www.gilzerijen.nl/coronavirus.html
Gemeente,Goeree-Overflakkee,https://www.goeree-overflakkee.nl/portal/informatie-coronacrisis_47567/
Gemeente,Goes,
Gemeente,Goirle,
Gemeente,Gorinchem,https://www.gorinchem.nl/coronavirus
Gemeente,Grave,https://www.grave.nl/corona
Gemeente,Gulpen-Wittem,https://www.gulpen-wittem.nl/onderwerpen/corona/maatregelen-voor-gulpen-wittem
Gemeente,Haaksbergen,https://www.haaksbergen.nl/coronavirus
Gemeente,Haaren,https://www.haaren.nl/home/coronavirus_42239
Gemeente,Halderberge,https://www.halderberge.nl/coronavirus
Gemeente,Hardinxveld-Giessendam,https://www.hardinxveld-giessendam.nl/Zorg_en_onderwijs/Zorg/Updates_Coronavirus
Gemeente,Harlingen,https://www.harlingen.nl/corona
Gemeente,Hattem,https://www.hattem.nl/Inwoners/Actueel/coronavirus
Gemeente,Heemskerk,
Gemeente,Heemstede,https://www.heemstede.nl/coronavirus/actuele-informatie-over-coronavirus-in-gemeente-heemstede
Gemeente,Heerde,
Gemeente,Heeze-Leende,https://www.heeze-leende.nl/in-en-over-heeze-leende/nieuws_42167/item/het-coronavirus-alle-updates_78122.html
Gemeente,Heiloo,
Gemeente,Hellendoorn,
Gemeente,Hellevoetsluis,https://www.hellevoetsluis.nl/Inwoners/Zorg_en_hulp/Coronavirus
Gemeente,Hendrik-Ido-Ambacht,https://www.h-i-ambacht.nl/Gewoon_Ambacht/Overzicht/actueel/Actueel_2020/Coronavirus_update_woensdagavond
Gemeente,Heumen,
Gemeente,Heusden,
Gemeente,Hillegom,
Gemeente,Hilvarenbeek,
Gemeente,Hoeksche Waard,
