Top 100,Type,Gemeenten gesorteerd op grootte,Wie ingevuld?,Datum (wijziging),Corona Informatie,Corona specifiek nieuws,Algemeen nieuws,Opmerkingen
Drenthe,Provincie,0,Breyten,02-07-2020,https://www.provincie.drenthe.nl/diversen/coronavirus/,https://www.provincie.drenthe.nl/diversen/coronavirus/actueel/,https://www.provincie.drenthe.nl/actueel/nieuwsberichten/,
Flevoland,Provincie,0,Breyten,02-07-2020,https://www.flevoland.nl/dossiers/coronacrisis,,https://www.flevoland.nl/nieuwsoverzicht,
Fryslân,Provincie,0,Breyten,02-07-2020,https://www.fryslan.frl/home/coronavirus-covid-19_44322/,,https://www.fryslan.frl/home/nieuws_3166/,
Gelderland,Provincie,0,Breyten,02-07-2020,https://www.gelderland.nl/Nieuwsoverzicht/COVID-19,https://www.gelderland.nl/Nieuwsoverzicht/COVID-19/COVID-19-Updates,https://www.gelderland.nl/Nieuwsoverzicht,
Groningen,Provincie,0,Breyten,02-07-2020,https://www.provinciegroningen.nl/actueel/dossiers/coronacrisis/,,https://www.provinciegroningen.nl/actueel/nieuws/,
Limburg,Provincie,0,Breyten,02-07-2020,https://www.limburg.nl/thema/corona-limburg-0/,,https://www.limburg.nl/actueel/nieuws/,
Noord-Brabant,Provincie,0,Breyten,02-07-2020,https://www.brabant.nl/subsites/corona,https://www.brabant.nl/subsites/corona/nieuws,https://www.brabant.nl/actueel/nieuws,
Noord-Holland,Provincie,0,Breyten,02-07-2020,https://www.noord-holland.nl/Actueel/Coronavirus,https://www.noord-holland.nl/Actueel/Coronavirus/Nieuws_coronavirus,https://www.noord-holland.nl/Actueel/Nieuws,
Overijssel,Provincie,0,Breyten,02-07-2020,https://www.overijssel.nl/actueel/corona-virus-overijssel/,,https://www.overijssel.nl/actueel/nieuws/,
Utrecht,Provincie,0,Breyten,02-07-2020,https://www.provincie-utrecht.nl/corona,,https://www.provincie-utrecht.nl/actueel/nieuws,
Zeeland,Provincie,0,Breyten,02-07-2020,https://www.zeeland.nl/vragen-over-corona,,https://www.zeeland.nl/actueel,
Zuid-Holland,Provincie,0,Breyten,02-07-2020,https://www.zuid-holland.nl/actueel/coronavirus/,,https://www.zuid-holland.nl/actueel/nieuws/,
