collection,location,file_url
Veiligheidsregio,Amsterdam-Amstelland,https://www.amsterdam.nl/veiligheidsregio/
Veiligheidsregio,Brabant-Noord,https://www.vrbn.nl/organisatie/nieuws/nieuws-0/nieuws/
Veiligheidsregio,Brabant-Zuidoost,https://www.vrbzo.nl/actueel/
Veiligheidsregio,Drenthe,https://www.vrd.nl/actueel.html
Veiligheidsregio,Flevoland,https://www.veiligheidsregioflevoland.nl/
Veiligheidsregio,Fryslân,https://www.veiligheidsregiofryslan.nl/
Veiligheidsregio,Gelderland-Midden,https://www.vggm.nl/vggm
Veiligheidsregio,Gelderland-Zuid,
Veiligheidsregio,Gooi en Vechtstreek,https://www.vrgooienvechtstreek.nl/actueel/
Veiligheidsregio,Groningen,https://www.veiligheidsregiogroningen.nl/over_ons/nieuws/
Veiligheidsregio,Haaglanden,https://www.vrh.nl/nieuws-verhalen
Veiligheidsregio,Hollands-Midden,https://www.vrhm.nl/
Veiligheidsregio,IJsselland,https://www.vrijsselland.nl/nieuws
Veiligheidsregio,Kennemerland,https://www.vrk.nl/nl-NL/Nieuws
Veiligheidsregio,Limburg-Noord,https://www.vrln.nl/nieuws
Veiligheidsregio,Limburg-Zuid,https://vrzl.nl/nieuws
Veiligheidsregio,Midden- en West-Brabant,https://www.vrmwb.nl/nieuws
Veiligheidsregio,Noord- en Oost-Gelderland,https://www.vrmwb.nl/Nieuws
Veiligheidsregio,Noord-Holland-Noord,https://www.vrnhn.nl/actueel
Veiligheidsregio,Rotterdam-Rijnmond,https://vr-rr.nl/actueel/
Veiligheidsregio,Twente,https://vrtwente.nl/actueel/
Veiligheidsregio,Utrecht,https://www.vru.nl/nieuws
Veiligheidsregio,Zaanstreek-Waterland,https://www.veiligheidsregiozaanstreekwaterland.nl/nieuws.html
Veiligheidsregio,Zeeland,https://www.veiligheidsregiozeeland.nl/nieuws
Veiligheidsregio,Zuid-Holland-Zuid,https://www.zhzveilig.nl/vrzhz/nieuws/
