collection,location,file_url
Provincie,Drenthe,https://www.provincie.drenthe.nl/diversen/coronavirus/actueel/
Provincie,Flevoland,
Provincie,Fryslân,
Provincie,Gelderland,https://www.gelderland.nl/Nieuwsoverzicht/COVID-19/COVID-19-Updates
Provincie,Groningen,
Provincie,Limburg,
Provincie,Noord-Brabant,https://www.brabant.nl/subsites/corona/nieuws
Provincie,Noord-Holland,https://www.noord-holland.nl/Actueel/Coronavirus/Nieuws_coronavirus
Provincie,Overijssel,
Provincie,Utrecht,
Provincie,Zeeland,
Provincie,Zuid-Holland,
