collection,location,file_url
Veiligheidsregio,Amsterdam-Amstelland,
Veiligheidsregio,Brabant-Noord,https://www.vrbn.nl/update-coronavirus/
Veiligheidsregio,Brabant-Zuidoost,
Veiligheidsregio,Drenthe,https://www.vrd.nl/coronavirus-in-drenthe.html
Veiligheidsregio,Flevoland,
Veiligheidsregio,Fryslân,https://www.veiligheidsregiofryslan.nl/coronavirus/
Veiligheidsregio,Gelderland-Midden,
Veiligheidsregio,Gelderland-Zuid,
Veiligheidsregio,Gooi en Vechtstreek,
Veiligheidsregio,Groningen,https://www.veiligheidsregiogroningen.nl/wat_jij_kan_doen/tijdens_een_crisis/corona/wat_betekent_het_coronavirus_voor_groningen_
Veiligheidsregio,Haaglanden,https://haaglandenveilig.nl/informatie-over-het-coronavirus-covid-19
Veiligheidsregio,Hollands-Midden,
Veiligheidsregio,IJsselland,https://www.vrijsselland.nl/coronavirus/
Veiligheidsregio,Kennemerland,https://www.vrk.nl/nl-NL/Coronavirus
Veiligheidsregio,Limburg-Noord,
Veiligheidsregio,Limburg-Zuid,https://www.vrzl.nl/coronavirus
Veiligheidsregio,Midden- en West-Brabant,
Veiligheidsregio,Noord- en Oost-Gelderland,https://www.vrmwb.nl/Nieuws/2020/02/27/Informatie-over-corona
Veiligheidsregio,Noord-Holland-Noord,
Veiligheidsregio,Rotterdam-Rijnmond,
Veiligheidsregio,Twente,https://vrtwente.nl/corona/
Veiligheidsregio,Utrecht,https://www.vru.nl/coronavirus/informatie-voor-inwoners
Veiligheidsregio,Zaanstreek-Waterland,https://www.veiligheidsregiozaanstreekwaterland.nl/incidenten/incident/?tx_news_pi1%5Bnews%5D=1110&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=8b49f50d654ceedcc0f2f618c305a1ea
Veiligheidsregio,Zeeland,https://www.zeelandveilig.nl/coronavirus
Veiligheidsregio,Zuid-Holland-Zuid,
