collection,location,file_url
Provincie,Drenthe,https://www.provincie.drenthe.nl/diversen/coronavirus/
Provincie,Flevoland,https://www.flevoland.nl/dossiers/coronacrisis
Provincie,Fryslân,https://www.fryslan.frl/home/coronavirus-covid-19_44322/
Provincie,Gelderland,https://www.gelderland.nl/Nieuwsoverzicht/COVID-19
Provincie,Groningen,https://www.provinciegroningen.nl/actueel/dossiers/coronacrisis/
Provincie,Limburg,https://www.limburg.nl/thema/corona-limburg-0/
Provincie,Noord-Brabant,https://www.brabant.nl/subsites/corona
Provincie,Noord-Holland,https://www.noord-holland.nl/Actueel/Coronavirus
Provincie,Overijssel,https://www.overijssel.nl/actueel/corona-virus-overijssel/
Provincie,Utrecht,https://www.provincie-utrecht.nl/corona
Provincie,Zeeland,https://www.zeeland.nl/vragen-over-corona
Provincie,Zuid-Holland,https://www.zuid-holland.nl/actueel/coronavirus/
